"Session ID","258c8ec0-af77-4ca4-8a16-0f2177103937"
"Session name","Session 3"
"Session start, seconds since epoch","1771107686"
"Timezone offset, milliseconds","-28800000"
"Session start date, local timezone, YYYYMMDD","20260214"
"Track ID","91bb0cdd-339f-4353-bff6-f08eddc0356e"
"Track name","Thunderhill East (Cyclone)"
"Date","2/14/26"
"Time","22:21:26"
"Comment","The values for Date and Time are provided in UTC."

Time,GPS Latitude,GPS Longitude,GPS Speed,GPS Heading,GPS Altitude
sec,deg,deg,m/s,deg,m

0.240,39.5400992,-122.3314630,0.01,0.0,57.86
0.280,39.5400992,-122.3314631,0.03,0.0,57.86
0.320,39.5400992,-122.3314631,0.00,0.0,57.87
0.360,39.5400993,-122.3314631,0.01,0.0,57.87
0.400,39.5400993,-122.3314631,0.01,0.0,57.88
0.440,39.5400993,-122.3314632,0.02,0.0,57.88
0.480,39.5400993,-122.3314633,0.02,0.0,57.88
0.520,39.5400994,-122.3314633,0.00,0.0,57.88
0.560,39.5400994,-122.3314634,0.02,0.0,57.89
0.600,39.5400994,-122.3314634,0.01,0.0,57.89
0.640,39.5400995,-122.3314633,0.03,0.0,57.90
0.680,39.5400994,-122.3314633,0.03,0.0,57.91
0.720,39.5400995,-122.3314633,0.04,0.0,57.91
0.760,39.5400995,-122.3314632,0.02,0.0,57.92
0.800,39.5400995,-122.3314631,0.01,0.0,57.93
0.840,39.5400994,-122.3314631,0.00,0.0,57.94
0.880,39.5400994,-122.3314631,0.00,0.0,57.94
0.920,39.5400994,-122.3314632,0.01,0.0,57.95
0.960,39.5400994,-122.3314633,0.01,0.0,57.96
1.000,39.5400994,-122.3314634,0.00,0.0,57.96
