This file is created using RaceChrono Pro v10.0.4 ( http://racechrono.com/ ).
Format,3
Session title,"Thunder Hill CCW"
Session type,Lap timing
Track name,"Thunder Hill CCW"
Driver name,
Created,07/03/2026,18:00
Note,

timestamp,fragment_id,lap_number,elapsed_time,distance_traveled,accuracy,altitude,bearing,device_battery_level,device_update_rate,fix_type,latitude,longitude,satellites,speed,combined_acc,device_update_rate,lateral_acc,lean_angle,longitudinal_acc,speed,accelerator_pos,brake_pos,brake_pressure,coolant_temp,engine_oil_temp,rpm,speed,steering_angle,device_update_rate,x_acc,y_acc,z_acc,device_update_rate,x_acc,y_acc,z_acc,device_update_rate,x_rate_of_rotation,y_rate_of_rotation,z_rate_of_rotation,device_update_rate,x_rate_of_rotation,y_rate_of_rotation,z_rate_of_rotation,device_update_rate,x_magnetic_field,y_magnetic_field,z_magnetic_field
unix time,,,s,m,m,m,deg,%,Hz,,deg,deg,sats,m/s,G,Hz,G,deg,G,m/s,%,%,kPa,.C,.C,rpm,m/s,deg,Hz,G,G,G,Hz,G,G,G,Hz,deg/s,deg/s,deg/s,Hz,deg/s,deg/s,deg/s,Hz,uT,uT,uT
,,,,,300: gps,300: gps,300: gps,300: gps,300: gps,300: gps,300: gps,300: gps,300: gps,300: gps,calc,calc,calc,calc,calc,calc,200: canbus,200: canbus,200: canbus,200: canbus,200: canbus,200: canbus,200: canbus,200: canbus,100: acc,100: acc,100: acc,100: acc,301: acc,301: acc,301: acc,301: acc,101: gyro,101: gyro,101: gyro,101: gyro,302: gyro,302: gyro,302: gyro,302: gyro,102: magn,102: magn,102: magn,102: magn
1772927004.643,3,14,465.964,4709.6477,0.402,91.0936,179.773,83.0,25.00069,3.0,39.5400169,-122.331175,15.0,45.3452,0.12325,20.0,0.01314,-0.74526,0.12254,45.34772,100.0,0.0,0.0,91.0,114.0,5560.75,45.60507,-1.30426,49.74967,0.07953,0.79612,0.38065,25.00069,0.12689,0.0244,0.90533,49.76697,11.375,-5.501,7.668,25.00069,-3.152,2.045,0.67,49.98807,3.59247,-14.15705,20.26074
1772927004.645,3,14,465.966,4709.73855,0.402,91.0939,179.773,83.0,25.00069,3.0,39.5400161,-122.331175,15.0,45.3483,0.1232,20.0,0.01298,-0.73597,0.1225,45.35068,100.0,0.0,0.0,91.0,114.0,5560.0,45.60894,-1.32553,49.75091,0.10068,0.80548,0.40771,25.00069,0.12584,0.0236,0.90198,49.76828,11.77016,-5.15247,6.44484,25.00069,-3.128,2.0925,0.66,49.98767,3.60426,-14.12747,20.27263
1772927004.646,3,14,465.967,4709.78398,0.402,91.09405,179.773,83.0,25.00069,3.0,39.5400156,-122.331175,15.0,45.34985,0.12317,20.0,0.0129,-0.73133,0.12248,45.35216,100.0,0.0,0.0,91.0,114.0,5560.11111,45.61087,-1.33617,49.75153,0.11125,0.81016,0.42124,25.00069,0.12532,0.0232,0.90031,49.76894,11.96774,-4.97821,5.83326,25.00069,-3.116,2.11625,0.655,49.98747,3.61016,-14.11268,20.27858
1772927004.652,3,14,465.973,4710.05653,0.402,91.09495,179.773,83.0,25.00069,3.0,39.5400132,-122.3311749,15.0,45.35915,0.12299,20.0,0.01241,-0.70348,0.12235,45.36104,100.0,0.0,0.0,91.0,114.0,5560.77778,45.62246,-1.4,49.75495,0.1205,0.87176,0.38056,25.00069,0.12217,0.0208,0.89026,49.77288,13.15321,-3.93263,2.16379,25.00069,-3.044,2.25875,0.625,49.98626,3.64553,-14.02395,20.31426
1772927004.657,3,14,465.978,4710.28365,0.402,91.0957,179.773,83.0,25.00069,3.0,39.5400112,-122.3311749,15.0,45.3669,0.12285,20.0,0.01201,-0.68026,0.12224,45.36844,100.0,0.0,0.0,91.0,114.0,5561.33333,45.64208,-1.56667,49.75781,0.1282,0.92308,0.34665,25.00069,0.11954,0.0188,0.88189,49.77616,14.14111,-3.06132,-0.89411,25.00069,-2.984,2.3775,0.6,49.98525,3.675,-13.95,20.344
1772927004.662,3,14,465.983,4710.51078,0.402,91.09645,179.773,83.0,25.00069,3.0,39.5400091,-122.3311749,15.0,45.37465,0.1227,20.0,0.0116,-0.65705,0.12214,45.37584,100.0,0.0,0.0,91.0,114.0,5561.88889,45.66169,-1.73333,49.76066,0.13591,0.97441,0.31275,25.00069,0.11692,0.0168,0.87351,49.77945,15.129,-2.19,-3.952,25.00069,-2.924,2.49625,0.575,49.98447,3.67025,-13.9595,20.297
1772927004.663,3,14,465.984,4710.5562,0.402,91.0966,179.773,83.0,25.00069,3.0,39.5400087,-122.3311749,15.0,45.3762,0.12267,20.0,0.01152,-0.65241,0.12212,45.37732,100.0,0.0,0.0,91.0,114.0,5562.0,45.66562,-1.76667,49.76123,0.13745,0.98467,0.30597,25.00069,0.11639,0.0164,0.87184,49.78006,14.61023,-1.89105,-3.96932,25.00069,-2.912,2.52,0.57,49.98431,3.6693,-13.9614,20.2876
1772927004.664,3,14,465.985,4710.60163,0.402,91.09675,179.773,83.0,25.00069,3.0,39.5400083,-122.3311749,15.0,45.37775,0.12264,20.0,0.01144,-0.64777,0.12209,45.3788,100.0,0.0,0.0,91.0,114.0,5562.27273,45.66954,-1.8,49.7618,0.13899,0.99494,0.29918,25.00069,0.11587,0.016,0.87016,49.78067,14.09145,-1.59209,-3.98664,25.00069,-2.9,2.54375,0.565,49.98415,3.66835,-13.9633,20.2782
